label,SCZ_supragranular
V1,1.8099405557913504
MST,-1.1574871786502428
V6,-0.751488373268112
V2,1.2641513539204141
V3,0.8915173280894324
V4,0.20913944424880662
V8,0.5029477550211662
4,1.0624767515070526
3b,1.0137272707443352
FEF,0.4330498454590994
PEF,0.28943658488052454
55b,0.08044533489062237
V3A,-0.1853078324260961
RSC,1.4656516825874746
POS2,-0.42885927019466297
V7,-0.22043034061573313
IPS1,-0.5109621520263299
FFC,-0.7662119490768395
V3B,-0.3214161701411869
LO1,-0.780107595492976
LO2,-0.33133409640302225
PIT,-0.2343354519698099
MT,-1.3434367662426396
A1,-0.8311659342735037
PSL,0.4266449635489505
SFL,1.1145869343665902
PCV,-0.16537235846997123
STV,0.7122613118402752
7Pm,-0.21619929100749694
7m,-0.3720449287584782
POS1,-0.014871239115851106
23d,0.4644635992219022
v23ab,0.26897360405958953
d23ab,0.7467865113374335
31pv,0.802141521784009
5m,0.9991273433675318
5mv,-0.07333198638353147
23c,-0.06730988215266062
5L,0.5383977242364105
24dd,0.8495154546910132
24dv,0.9830949031144952
7AL,0.4542287155952205
SCEF,0.9873277650394322
6ma,1.0259515991556836
7Am,0.14306575209226208
7Pl,-0.334200208904641
7PC,-0.2897428326300653
LIPv,-0.8881072029964939
VIP,-0.12851194179407435
MIP,-0.42586791874459645
1,0.7126775386962516
2,-0.20229880632432884
3a,0.9975668775800428
6d,1.8217449976712592
6mp,1.7135660771337224
6v,-0.5182031131999799
p24pr,1.5062345844783747
33pr,2.167195025558362
a24pr,2.0513291169335752
p32pr,1.4081812301022896
a24,1.9346841795586642
d32,1.914708619105194
8BM,1.516727491813074
p32,0.958793589590226
10r,0.746319253799378
47m,-0.047359071714938236
8Av,-0.6395329152136658
8Ad,-0.36817302219825593
9m,1.0638303970963439
8BL,0.8064382386779269
9p,0.32448906143138156
10d,0.500203457193321
8C,-0.8828137846861656
44,-0.33368310172588767
45,-0.40669284986168325
47l,-0.06755432444956572
a47r,-0.39430164847175797
6r,0.46217995695277064
IFJa,0.3660466352052072
IFJp,0.5404808980616245
IFSp,-0.8780474830588403
IFSa,-1.0369670495584835
p9-46v,-2.3627358035612867
46,-1.7940272179376782
a9-46v,0.20661299388194582
9-46d,-0.7156152488524536
9a,-0.0052164412830468946
10v,0.6337439335609878
a10p,0.09669253477120059
10pp,0.5897501652939713
11l,-0.26138611538687034
13l,0.6033445802597764
OFC,0.5747534758755997
47s,0.27325161472137416
LIPd,-1.145568180999868
6a,0.7427220500942974
i6-8,-0.2733510679429328
s6-8,0.6029405547175858
43,0.011695751764418746
OP4,-0.6472193359571928
OP1,-0.9833176316578934
OP2-3,-1.0205145096552226
52,-0.5529035750743111
RI,-0.23414768894875612
PFcm,0.1503129909354091
PoI2,-0.45575622454030607
TA2,-1.7850705543857168
FOP4,-0.20841170737692097
MI,-0.6731641809330687
Pir,1.7098476980677961
AVI,-0.597792967072719
AAIC,0.06353278851219657
FOP1,0.3773788208514981
FOP3,-0.5227627072633607
FOP2,-0.32907880136930656
PFt,-0.9702697283223581
AIP,-1.6145798732618468
EC,1.4743556251231618
PreS,1.9816333714685153
H,2.055888948573063
ProS,1.4596779146097707
PeEc,0.25318364674090643
STGa,-1.2332218836162443
PBelt,-0.7696802398579772
A5,-1.6636823341214675
PHA1,0.8806072743550942
PHA3,0.17767962202355694
STSda,-2.5669087289263923
STSdp,-0.658189841800978
STSvp,-1.072284548714044
TGd,0.18608651970855655
TE1a,-1.354412327784086
TE1p,-1.6499262924604396
TE2a,-0.7463277008975229
TF,-0.44424822931867086
TE2p,-1.5906478104067994
PHT,-1.8063242819394798
PH,-1.643897799120289
TPOJ1,0.46702997556285836
TPOJ2,-0.6716280648352909
TPOJ3,-0.883651333202975
DVT,-0.4904024791844273
PGp,-0.6912247866199108
IP2,-1.5140213467120254
IP1,-0.943242436032557
IP0,-0.7525687152866405
PFop,-0.12343916276073638
PF,-0.11252432632321045
PFm,-1.0614977443183506
PGi,-0.35138805842516607
PGs,-0.7371392564826887
V6A,-0.5828650284216288
VMV1,1.135345307376894
VMV3,1.011655204219187
PHA2,0.5148458602409528
V4t,-0.7091160593967428
FST,-1.6026827251555018
V3CD,-0.9571109747282761
LO3,-1.055398442887579
VMV2,0.9441061226214799
31pd,0.3334749243114662
31a,-0.08429563781346112
VVC,0.07586393251698183
25,1.4865633094023354
s32,0.8562718392723956
pOFC,1.5044176908368427
PoI1,-0.2199256025824073
Ig,-0.40116992916192695
FOP5,-0.7624532378622718
p10p,0.3452964942466904
p47r,0.12159762039059628
TGv,-0.2746345585192354
MBelt,-0.9743317921343692
LBelt,-0.9170009979370828
A4,-0.8096719498668654
STSva,-2.028853159938271
TE1m,-1.2216389227315585
PI,-0.5767829567065709
a32pr,2.5915972220034806
p24,2.930824122834917
